ID	GSM534579	GSM534580	GSM534581	GSM534582	GSM534583	GSM534584	GSM534585	GSM534586	GSM534587	GSM534588	GSM534589	GSM534590	GSM534591	GSM534592	GSM534593	GSM534594	GSM534595	GSM534596	GSM534597	GSM534598	GSM534599	GSM534600	GSM534601	GSM534602	GSM534603	GSM534604	GSM534605	GSM534606	GSM534607	GSM534608	GSM534621	GSM534622	GSM534623	GSM534624	GSM534625	GSM534626	GSM534627	GSM534628	GSM534629	GSM534630	GSM534631	GSM534632
osa-miR169j_Mature	-6.0390205	-6.19568865	-6.9777845	-7.36979375	-7.71107195	-7.74722975	-8.197754	-7.904096	-7.44170035	-8.9589215	-9.666318	-8.5881975	-7.54590425	-9.2408245	-8.0892825	-7.514066	-8.96960135	-8.688433	-8.20749	-8.249816	-8.388748	-7.8150495	-8.2610685	-9.392021	-6.8644366	-5.7447415	-4.7907225	-9.0441955	-8.76078775	-6.05865425	-10.07051775	-10.066881	-8.192929	-9.311512	-9.8124785	-8.8622895	-9.366761	-9.7298915	-8.26782	-9.11931	-9.327234	-8.8536765
osa-miR164d_Mature	-8.8363325	-9.3518835	-7.5853313	-9.7164785	-9.275536	-7.7826647	-7.601535	-8.57643	-8.5977815	-9.057464	-9.6714725	-7.64616985	-8.2216605	-9.348722	-8.283507	-8.430439	-10.0325655	-8.8873155	-8.82310335	-8.7069895	-8.591051	-7.97534	-8.394561	-9.5595725	-7.0135505	-5.85837225	-7.0269425	-8.9669925	-8.4966785	-7.48875985	-10.135422	-9.6913025	-5.5505902	-9.797759	-9.969945	-8.35554535	-9.4787245	-9.806714	-8.387136	-8.695281	-9.3059275	-8.950432
osa-miR156f_Mature	-8.90376975	-8.48933575	-7.6013832	-8.8953875	-9.3142915	-6.85401585	-8.6947625	-9.385279	-8.6265875	-9.057564	-9.3382035	-7.16851815	-7.71874575	-8.349819	-5.0739434	-8.442022	-9.8769385	-7.864629	-7.81182835	-6.76411465	-8.6041385	-6.31935835	-6.50551105	-9.5661835	-5.7687645	-5.29565025	-6.954612	-7.51558675	-7.9262553	-6.8509913	-10.149801	-8.1224325	-8.3277775	-9.8112885	-9.9739185	-9.0008325	-9.486248	-9.822459	-8.4045385	-9.654292	-10.168607	-8.855699
osa-miR171c_Mature	-8.0417433	-9.1485185	-5.809776	-9.0946935	-9.07290975	-7.668557	-8.593382	-9.17687	-8.4350705	-8.993863	-9.9857675	-8.495255	-8.036922	-9.1488875	-8.24691	-8.247253	-9.8290755	-8.766563	-9.750667	-9.659883	-6.6319427	-9.3754245	-10.003961	-8.9694545	-6.64191065	-5.6605805	-6.8313967	-9.0467405	-9.0076195	-7.276952	-10.0072365	-9.97151075	-8.089752	-9.70645	-9.921897	-8.768527	-9.423031	-9.692039	-8.219934	-9.4105195	-9.464823	-8.72953625
osa-miR169m_Mature	-6.6054925	-6.5351323	-7.5346475	-8.237197	-8.08434815	-7.72782995	-8.647383	-6.740851	-8.5342105	-9.0205045	-9.0695925	-8.607194	-7.78030035	-9.31806	-8.1522435	-7.6647835	-10.0100355	-8.745445	-9.805171	-8.5548555	-8.457228	-8.4167665	-8.2853345	-9.463972	-6.93230295	-5.7868805	-6.99256515	-8.8177835	-9.229873	-7.4156557	-10.0995445	-10.011254	-7.4655825	-9.646109	-9.932813	-8.904343	-9.4367855	-9.758045	-8.3113185	-9.59659025	-10.02819175	-8.8784975
osa-miR395p_Mature	-8.3345305	-9.205579	-7.54385815	-8.9322025	-9.21491	-7.75088095	-8.6109665	-9.2977235	-8.32562025	-8.9980655	-9.944153	-6.98583935	-5.7599136	-9.195521	-7.9141034	-8.3711075	-8.68256625	-7.5262015	-8.3519235	-7.66998735	-8.4897845	-6.8586433	-6.9655507	-9.401725	-5.9517193	-5.8089476	-6.633958	-7.65638485	-8.8192675	-6.023494	-9.243627	-6.839615	-8.2569575	-8.585993	-9.12867825	-8.9223015	-9.1485475	-9.772072	-8.0119075	-9.255392	-10.06295375	-8.90969
osa-miR159c_Mature	-8.7669595	-9.238565	-7.42101665	-9.649524	-9.16290725	-7.73006225	-8.445877	-9.2314725	-8.502487	-8.880771	-10.080593	-8.5915505	-8.158302	-9.2290995	-8.10574295	-8.34153775	-9.921357	-8.637255	-9.769408	-9.762583	-8.4078855	-9.48307125	-8.832167	-9.3889695	-6.85436875	-5.7578011	-6.92270985	-9.15169075	-9.473998	-7.35938695	-10.084414	-9.397217	-8.193328	-9.6212615	-9.832626	-8.882655	-9.3073025	-9.288331	-8.3212855	-9.50150725	-10.012549	-8.309957
osa-miR171a_Mature	-5.9303857	-8.07503085	-6.210412	-7.7728385	-9.1451815	-7.044888	-8.127386	-8.0046725	-7.8720165	-8.3519275	-7.82152365	-6.5616515	-6.136245	-7.692193	-7.254673	-6.13378725	-8.34357125	-7.5857893	-7.437807	-8.32986375	-7.956403	-8.573131	-8.1719365	-8.41026585	-5.6491933	-5.21945335	-6.8881498	-9.152338	-6.612787	-7.3609366	-8.3721635	-7.7124535	-7.6656625	-8.0234387	-8.8290625	-7.5944009	-8.2062593	-7.6603435	-6.1985515	-6.24593045	-7.2132898	-7.494832
osa-miR399c_Mature	-8.39612725	-8.8449945	-7.393914	-8.7828945	-8.969765	-7.64766285	-8.4833035	-9.1245625	-8.36423775	-8.8922785	-9.9080415	-8.3208735	-7.979334	-8.6737395	-8.1630515	-8.0221205	-9.1780355	-8.3909925	-7.94965125	-7.2890378	-8.407994	-6.5285572	-6.67018585	-9.0439135	-6.2361695	-5.604881	-6.7770734	-7.7067773	-8.19935825	-6.94693825	-9.9508275	-8.4398945	-8.0593445	-8.30133275	-9.6948275	-8.534264	-9.336745	-9.0174665	-8.18654825	-8.4129285	-8.0481665	-8.6812695
osa-miR171g_Mature	-8.25510715	-9.34515	-7.5843985	-9.379212	-9.264006	-6.8521047	-8.6179885	-9.3136365	-7.3272095	-9.007791	-8.81237075	-8.180226	-8.228706	-9.039038	-8.202888	-8.4269185	-9.4406745	-8.698868	-9.19679525	-8.191525	-8.486335	-8.1866307	-7.3052001	-9.339366	-6.253132	-5.850888	-6.68984365	-7.42398925	-9.3835815	-6.3568032	-9.8359055	-9.4881335	-8.289152	-7.7957925	-9.2981615	-8.55174	-8.611162	-7.436764	-8.271923	-7.9946422	-8.01093915	-8.178729
osa-miR169f_Mature	-8.191221	-8.96628825	-7.42591735	-8.301325	-9.0662845	-7.70439165	-8.478714	-9.1498185	-8.402833	-8.602926	-8.95778	-8.5307415	-7.9572377	-8.723551	-8.1003565	-8.228785	-9.8144125	-8.658903	-9.732076	-9.027544	-8.4066615	-7.828433	-8.44670375	-9.399444	-6.75002505	-5.6606846	-6.5869913	-8.736602	-8.8818405	-7.27714385	-9.560175	-9.1732475	-7.31593525	-9.331668	-9.264267	-8.7729385	-9.3413505	-8.1821505	-7.661648	-9.36668925	-7.3805285	-8.776652
osa-miR396b_Mature	-8.9926725	-9.476409	-7.68662425	-9.858221	-9.403359	-7.8616262	-8.7645215	-9.466804	-8.68635525	-8.5843755	-10.334872	-8.766732	-8.346815	-9.45434975	-8.3667125	-8.5439765	-10.1280895	-8.8983305	-9.131559	-10.0148265	-8.681884	-9.68408125	-10.28549	-9.667592	-7.1142535	-5.9771188	-7.1238408	-9.3726445	-9.68731175	-7.612094	-10.22090725	-10.2843135	-8.40211875	-9.29629	-10.0192775	-9.081545	-9.538595	-9.851304	-8.474387	-9.7466215	-10.2845685	-9.057401
