ID	GSM534579	GSM534580	GSM534581	GSM534582	GSM534583	GSM534584	GSM534597	GSM534598	GSM534599	GSM534600	GSM534601	GSM534602
osa-miR156h	-4.1130671	-3.92047345	-3.30157745	-4.410533025	-4.09774985	-3.560081825	-4.653299675	-4.585682025	-4.5064267	-4.317026225	-4.394387225	-4.633351225
osa-miR413	-8.757562	-9.13473475	-7.478865875	-9.48046	-8.38842375	-7.7070218	-8.634112	-8.827317	-8.360947375	-8.35852175	-8.554429175	-9.305816
osa-miR415	-7.383707625	-7.5892999	-5.8403445	-8.404243675	-9.261901125	-7.35544165	-8.93001875	-8.100456125	-8.54304825	-7.17555915	-7.437687	-9.1148295
osa-miR414	-4.302529675	-4.43506325	-2.76830565	-4.28693055	-4.54472515	-2.94801045	-4.986602125	-5.1429379	-4.29826045	-5.144871125	-4.9991207	-4.3975063
osa-miR417	-8.8841835	-9.06473575	-7.575891975	-9.73057175	-9.236624	-7.805577475	-9.8360525	-9.03203555	-7.204868125	-9.566581	-10.1879135	-9.5981765
osa-miR416	-7.7866845	-7.314759	-6.9933006	-7.97055405	-7.84245025	-7.0649674	-8.02077235	-7.28044435	-8.3564565	-7.204223625	-7.031430625	-8.9819141
osa-miR419	-3.122305635	-3.88442695	-2.440114175	-3.7449817	-0.8329792	-2.163838175	-3.24815605	-4.45902314	-3.727692693	-3.979388925	-3.144292625	-4.02455455
osa-miR418	-6.614359	-6.410953	-6.27372745	-5.01768305	-5.967478375	-6.000613825	-9.57563325	-7.762385775	-7.97792185	-7.42170875	-7.50636665	-7.7029864
osa-miR156l	-8.4047199	-8.32510975	-7.52440925	-8.9122745	-8.003969	-7.734049575	-8.747640625	-9.0691985	-8.4301465	-8.373303425	-8.2406539	-9.026201
osa-miR435	-7.79379735	-8.54418925	-7.42692775	-7.887318	-8.90607	-7.667510925	-8.4992045	-8.21008325	-8.47097175	-7.4568135	-7.48414455	-9.041229625
osa-miR398b	-5.409393775	-5.412535	-4.1953075	-4.8696189	-5.04058	-4.4749592	-6.4506027	-6.33662085	-7.374405	-5.78317135	-5.82550475	-6.868577975
osa-miR398a	-7.233908625	-4.28145375	-6.9694937	-7.885779975	-4.91526635	-7.72425205	-8.99325475	-5.74984085	-8.49626975	-6.3135911	-8.17672955	-9.461309
osa-miR172d	-8.64228275	-8.854840375	-7.459722025	-9.5682825	-9.07957975	-7.594488125	-9.546839	-9.70983025	-8.415698875	-8.797724125	-8.8142465	-8.999659
osa-miR172a	-8.210388125	-9.30507875	-7.0812716	-8.895256075	-9.22451	-7.7531904	-9.59567175	-9.55516	-8.247465	-9.370414375	-9.10937875	-9.0485075
osa-miR319a	-8.68392075	-8.467849025	-7.275704425	-9.303544	-8.82991275	-7.7566911	-8.753501875	-8.91021765	-8.492991	-8.549579925	-8.823986	-9.10502725
osa-miR172c	-8.69967125	-9.20755625	-7.49960955	-9.593554875	-7.86098015	-7.578836625	-9.7897705	-9.7627825	-8.41567225	-9.4600125	-10.09628963	-9.36967275
osa-miR172b	-8.754392	-9.20191375	-7.46423095	-9.584003	-8.98337425	-7.70736675	-9.7691945	-9.73613975	-6.84216225	-9.4469345	-10.0628485	-9.4089815
osa-miR319b	-6.168096775	-6.038774675	-5.1196923	-7.0582873	-6.7230785	-6.133496025	-6.2592629	-6.039856075	-6.086755675	-6.083389575	-5.9864083	-7.21931625
osa-miR164f	-4.85617595	-4.620030775	-3.690974175	-5.565634625	-5.055491025	-4.1729304	-5.8915575	-6.20940825	-5.868703825	-6.480622	-6.284873225	-6.31090265
osa-miR164d	-4.2612257	-4.251624975	-2.6009897	-4.686596	-4.847640625	-3.331930625	-4.8804286	-4.48132095	-4.39703465	-4.689245275	-5.540762775	-5.077178875
osa-miR164e	-8.184547875	-8.098612875	-7.011292025	-8.99148175	-8.558036075	-7.7210946	-8.9463315	-8.374832	-8.484023	-8.570989725	-7.926299625	-9.31227375
osa-miR164b	-5.184734325	-5.127266175	-4.04010105	-5.958560075	-5.6846425	-4.8511293	-5.73790555	-5.842008025	-5.866339	-6.585270275	-6.2975946	-6.201651925
osa-miR164c	-7.2920574	-7.53270865	-6.729668325	-8.1805667	-7.201859925	-6.9611855	-8.049159625	-7.799158425	-8.212979625	-7.37816885	-7.722547425	-8.605025425
osa-miR164a	-7.038140725	-6.337828675	-6.436011325	-8.008679275	-7.7326439	-6.787206125	-5.557225775	-5.403514	-6.2617976	-6.3162483	-5.631907775	-5.6028799
osa-miR426	-8.91907875	-8.760555175	-7.6362131	-9.78043425	-9.33190275	-7.789334275	-9.8684145	-9.96684975	-8.59601325	-9.63157425	-9.188864625	-9.579907875
osa-miR420	-8.75040575	-9.24539525	-7.500293475	-9.34417275	-9.1640905	-7.7170543	-9.77860575	-9.733636	-8.525145	-9.44734925	-9.476299	-9.4921565
osa-miR397b	-7.9674222	-8.71341125	-7.421431	-8.467394	-8.90195025	-7.664939825	-8.7226105	-7.962241	-8.41312275	-7.5040659	-7.396639925	-9.41021925
osa-miR397a	-8.85489325	-8.98030625	-7.59898165	-9.5545445	-9.113867875	-7.803013325	-9.484541	-9.92465675	-8.59338875	-9.441031	-9.2340055	-9.56905475
osa-miR395p	-8.49524405	-9.38929375	-7.601893175	-9.444688	-9.31513175	-7.779595	-8.8936211	-9.91825325	-8.605018875	-9.60655	-10.202008	-9.4715125
osa-miR169p	-6.394152625	-6.809887	-5.576283225	-6.6554654	-7.3755296	-6.190195275	-6.920845725	-6.50478855	-6.5602961	-6.060195325	-5.96573495	-7.028112625
osa-miR395q	-8.63671175	-9.154654	-7.10892135	-9.53501975	-9.05176825	-7.65656135	-9.7565105	-9.68591475	-8.42746375	-9.39463175	-10.0046165	-9.40878525
osa-miR395r	-8.790883	-9.27615875	-7.52786705	-9.373613125	-9.2542545	-7.78220475	-9.196705825	-9.690044	-8.27983775	-9.549683625	-9.941283	-9.305059375
osa-miR169e	-4.26619839	-3.81602405	-3.60396885	-6.06008665	-5.608324	-4.868546975	-6.9756739	-6.37085885	-5.8708312	-6.9862116	-6.3846727	-6.344194025
osa-miR169d	-7.852144125	-9.078038	-7.53250645	-9.54710825	-9.175727875	-7.7450823	-9.619109	-8.97155	-8.43217475	-9.348775375	-9.341608025	-9.44333975
osa-miR169g	-3.409397125	-2.394492375	-3.0408628	-4.9874657	-4.186539175	-4.62222585	-6.702625625	-6.097505675	-7.7015563	-7.5655305	-7.27426375	-7.471197575
osa-miR169f	-8.149582	-7.505065825	-6.833574875	-8.96945	-8.5460603	-7.775778225	-9.834359	-9.77274475	-8.57145025	-9.549815	-9.29691725	-9.30838025
osa-miR169a	-6.7008711	-6.668973425	-5.56579685	-7.307672125	-6.88828155	-5.947563525	-7.37875445	-6.3220952	-6.619001	-6.13023575	-6.8830671	-6.702873225
osa-miR169c	-7.151486175	-6.434147425	-6.179757825	-8.026118225	-7.324863975	-6.7646306	-8.280474175	-8.26897285	-7.962001875	-8.320737875	-8.160981	-7.523196975
osa-miR169b	-4.068973875	-3.218339925	-4.6157311	-6.6636897	-5.758661425	-7.01162815	-7.4141999	-6.545170675	-7.9262855	-7.655904075	-7.17798155	-8.665273375
