ID	GSM534633	GSM534634	GSM534635	GSM534636	GSM534637	GSM534638	GSM534639	GSM534640	GSM534641
osa-miR166n	-6.419063975	-5.958685575	-5.944206525	-6.703462375	-6.909418525	-6.180739075	-6.902852	-7.0016674	-6.4397351
osa-miR166h	-6.3702796	-5.9779348	-5.7437959	-6.745100675	-7.7150659	-6.791493	-7.50725525	-6.4972059	-7.0248094
osa-miR166i	-7.8927899	-8.117236375	-7.4512449	-8.482758475	-8.71874125	-7.7558067	-7.8180082	-8.522353625	-8.00566515
osa-miR166k	-5.511690925	-4.68930915	-4.49017225	-6.07193675	-6.34226165	-6.142260975	-5.852500925	-5.600345325	-6.46682545
osa-miR396d	-6.984007725	-6.607410875	-7.237460975	-7.05666865	-7.146162675	-5.5108283	-6.727305375	-7.014733075	-7.3558404
osa-miR396a	-9.24279375	-9.5738535	-8.227804375	-9.314372325	-9.525306375	-8.15696175	-8.7737275	-10.14589075	-8.057690325
osa-miR396c	-4.935245275	-4.21568065	-4.36974935	-6.3947103	-6.77166925	-6.8821273	-6.309826425	-6.575123375	-7.679192425
osa-miR396b	-8.38128925	-9.26421275	-8.16447025	-9.34218125	-9.344031	-8.094694125	-8.72658975	-8.51286175	-7.6361755
osa-miR395u	-8.9993995	-9.76043675	-8.10850715	-9.63209825	-9.3969375	-8.03359815	-7.547943	-9.2692655	-7.9346924
osa-miR445a	-9.42807625	-9.848276	-8.229625875	-9.7949485	-9.487386	-8.119141	-8.76586675	-10.20557575	-8.0253435
osa-miR445d	-9.334682	-9.9017565	-7.2492525	-9.841137125	-9.531081	-7.143350175	-8.79264375	-9.49707425	-8.0829061
osa-miR408	-2.95830928	-3.318766383	-3.546734708	-4.388750087	-4.728577188	-3.868735173	-4.8448876	-3.283804765	-3.772860925
osa-miR438	-9.20932575	-9.81940075	-8.1598436	-9.7601405	-9.43585125	-8.067323	-8.408202625	-9.921052	-7.974792
osa-miR439f	-9.23891625	-9.255046	-8.200274175	-9.79338325	-9.45755375	-6.9094263	-8.74280725	-10.32521175	-8.01296335
osa-miR437	-9.43394875	-9.838577875	-8.252295	-9.76077875	-9.500537	-8.142428875	-8.78787825	-9.84592325	-8.053940125
osa-miR399d	-7.97344275	-7.77462605	-7.488174125	-7.930396175	-8.5649425	-8.141735	-8.76174175	-8.393255	-7.7836153
osa-miR156k	-6.089874525	-5.983513575	-7.310966175	-6.611490325	-6.63461345	-6.677623825	-6.984075675	-6.111756	-6.884736375
osa-miR399f	-8.84918025	-9.169267375	-8.14418525	-8.111025925	-8.894768	-8.107445625	-8.73742425	-9.2580295	-8.01038965
osa-miR399g	-9.0950655	-9.14289275	-8.216485	-9.48622875	-9.368221625	-8.12780075	-8.762625375	-9.701299375	-7.711824375
osa-miR399a	-9.0928875	-8.440848375	-8.21185775	-9.5236565	-9.47844	-8.133729	-8.761705	-9.9507155	-8.042614925
osa-miR399b	-9.39451375	-8.783285925	-8.061423175	-8.8531384	-9.30878725	-8.11314325	-8.74333475	-9.27894775	-7.793
osa-miR399c	-8.681528	-8.4801835	-8.1748905	-9.39433575	-9.48669825	-8.09890075	-8.58590125	-9.25286275	-7.797536675
osa-miR399h	-8.631175	-8.854254	-8.124909625	-8.70627075	-9.10614125	-8.05096375	-8.688319	-9.4129505	-7.9610787
osa-miR399i	-7.9876785	-7.702186175	-7.123607475	-7.77553335	-8.049177	-6.943127325	-8.022898575	-8.087980075	-7.2459903
